id_store,pssstore_stars_rating,pssstore_stars_rating_count,metacritic_critic_score,is_ps4,is_indie,is_dlc,is_vr,is_opti_ps5_pro,is_remaster,is_ps_exclusive,series_count,packs_deluxe_count,has_microtransactions,dlcs_count,trophies_count,has_local_multiplayer,local_multiplayer_max_players,has_online_multiplayer,online_multiplayer_max_players,is_online_only,difficulty,hours_main_story,hours_completionist,base_price,release_year,release_month,days_to_10_percent_discount,days_to_10_percent_discount_category,days_to_25_percent_discount,days_to_25_percent_discount_category,days_to_33_percent_discount,days_to_33_percent_discount_category,days_to_50_percent_discount,days_to_50_percent_discount_category,days_to_75_percent_discount,days_to_75_percent_discount_category,has_5pct_discount_at_30d,has_10pct_discount_at_60d,has_33_percent_discount_before_0.6_year,has_50_percent_discount_before_1_year,has_75_percent_discount_before_3_year,publisher_category,publisher_game_count_cat,publisher_game_count,genre_action_aventure,genre_roles,genre_sports,genre_reflexion,genre_rapide,popularity_score,popularity_category,download_size_gb,download_size_category,voice_languages_count,localization_category,sub_languages_count,content_score,content_category,exclusif_playstation_content,visibility_score,visibility_category,pegi_unified,price_category,game_age_years,release_season,log_pssstore_stars_rating_count
EP6664-PPSA22768_00-0777905459124515,3.54,1018,,1,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,0,2,0,0,3.49,2024,6,131.0,3-6_mois,131.0,3-6_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,0,0,0,,indie_quality,major,125,1,0,0,1,0,82.9,very_high,0.15,tiny,,minimal,1.0,38.0,light,0,73.0,high,3,0 - 7.99,1,summer,6.926577033222725
EP6985-PPSA16752_00-0189298325359567,4.78,512,,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,3,1,1,3.99,2023,8,57.0,0-3_mois,107.0,3-6_mois,224.0,6-12_mois,392.0,1-2_ans,,jamais_ou_plus,0,1,0,0,,indie_quality,large,33,1,0,0,1,1,74.0,high,,,,none,,12.0,minimal,0,67.0,high,3,0 - 7.99,2,summer,6.240275845170769
EP6880-PPSA31218_00-0997624613711380,4.33,36,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,0,,4.99,2025,7,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,0,,,,other,medium,11,1,0,0,0,0,42.8,medium,,,1.0,basic,4.0,28.0,light,0,23.0,low,3,0 - 7.99,0,summer,3.6109179126442243
EP3392-PPSA16749_00-0082275020477741,4.39,783,,0,1,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,4,2,2,14.99,2023,8,111.0,3-6_mois,111.0,3-6_mois,111.0,3-6_mois,111.0,3-6_mois,,jamais_ou_plus,0,0,1,1,,other,medium,10,1,0,0,1,0,78.6,high,,,5.0,standard,5.0,56.0,standard,1,77.0,high,7,8 - 14.99,2,summer,6.664409020350408
EP0896-PPSA09415_00-RATAGAMAFROGSJOB,3.6,40,,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,4.99,2022,10,77.0,0-3_mois,77.0,0-3_mois,189.0,6-12_mois,189.0,6-12_mois,,jamais_ou_plus,0,0,1,1,0,specialized,major,230,1,0,0,0,1,24.9,low,0.07,tiny,,minimal,1.0,22.0,light,0,45.0,moderate,3,0 - 7.99,3,fall,3.713572066704308
EP1270-PPSA04347_00-00000000AGLPS5EU,4.13,191,,1,1,0,0,0,0,0,0,0,0,0,15,1,4,1,8,0,5,35,,19.99,2021,9,62.0,0-3_mois,62.0,0-3_mois,258.0,6-12_mois,258.0,6-12_mois,832.0,jamais_ou_plus,0,0,0,1,1,other,small,2,1,0,1,1,1,56.1,medium,0.49,tiny,1.0,basic,9.0,62.0,rich,0,64.0,high,7,15 - 24.99,4,fall,5.2574953720277815
EP0896-PPSA13367_00-RGHEROANDAGARDEN,4.2,193,,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,2,2,4.99,2022,12,16.0,0-3_mois,16.0,0-3_mois,16.0,0-3_mois,16.0,0-3_mois,,jamais_ou_plus,1,1,1,1,,specialized,major,230,1,0,0,1,1,59.0,medium,0.08,tiny,,basic,10.0,34.0,light,0,72.0,high,3,0 - 7.99,3,winter,5.267858159063328
EP3037-PPSA04766_00-0533325792176675,4.44,602,69,1,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,2,2,14.99,2021,9,42.0,0-3_mois,42.0,0-3_mois,140.0,3-6_mois,449.0,1-2_ans,757.0,jamais_ou_plus,0,1,1,0,1,other,medium,7,1,0,0,1,1,72.7,high,1.14,small,2.0,standard,11.0,53.0,standard,0,74.0,high,7,8 - 14.99,4,fall,6.401917196727186
EP0896-PPSA03821_00-RGALITTLELILYPRI,4.33,49,,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,6,6,12.99,2021,5,55.0,0-3_mois,55.0,0-3_mois,186.0,6-12_mois,377.0,1-2_ans,,jamais_ou_plus,0,1,1,0,0,specialized,major,230,1,0,0,1,0,26.8,low,0.18,tiny,,minimal,1.0,25.0,light,0,46.0,moderate,12,8 - 14.99,4,spring,3.912023005428146
EP7123-PPSA19294_00-0077043003699239,3.39,118,,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,2.49,2024,1,45.0,0-3_mois,45.0,0-3_mois,45.0,0-3_mois,45.0,0-3_mois,,moins_de_2_ans_sans_baisse,0,1,1,1,,indie_quality,medium,18,1,0,0,0,0,53.8,medium,,,,none,,12.0,minimal,0,52.0,moderate,3,0 - 7.99,1,winter,4.77912349311153
